kabu_kota,indeks_kedalaman_kemiskinan_p1,indeks_keparahan_kemiskinan_p2,jum_penduduk_miskin,persen_penduduk_miskin,prop,indeks_pembangunan_gender,kabu_kota_lengkap,level_ppkm_sep_21
Tanjung Jabung Timur,1.45,0.31,24.23,10.95,RIAU,87.5,Kabupaten Tanjung Jabung Timur,
Tanjung Jabung Barat,1.58,0.38,34.79,10.29,RIAU,85.66,Kabupaten Tanjung Jabung Barat,
Tebo,0.7,0.14,22.47,6.26,RIAU,90.06,Kabupaten Tebo,
Bungo,0.72,0.17,22.07,5.8,RIAU,88.54,Kabupaten Bungo,
Kota Jambi,1.47,0.4,50.44,8.27,RIAU,94.03,Kota Jambi,
Kota Sungai Penuh,0.62,0.17,2.78,3.03,RIAU,94.31,Kota Sungai Penuh,
Ogan Komering Ulu,1.91,0.4,47.3,12.75,RIAU,94.0,Kabupaten Ogan Komering Ulu,
Ogan Komering Ilir,2.98,0.86,123.34,14.73,RIAU,91.3,Kabupaten Ogan Komering Ilir,
Muara Enim,1.94,0.43,79.27,12.32,RIAU,89.64,Kabupaten Muara Enim,
Lahat,2.64,0.67,65.75,15.95,RIAU,94.6,Kabupaten Lahat,
Musi Rawas,2.05,0.45,54.95,13.5,RIAU,85.45,Kabupaten Musi Rawas,
Musi Banyuasin,3.67,1.11,105.38,16.13,RIAU,82.9,Kabupaten Musi Banyuasin,
Banyu Asin,1.14,0.18,96.27,11.17,RIAU,88.93,Kabupaten Banyu Asin,
Ogan Komering Ulu Selatan,1.17,0.23,39.5,10.85,RIAU,92.62,Kabupaten Ogan Komering Ulu Selatan,
Ogan Komering Ulu Timur,1.02,0.14,71.1,10.43,RIAU,94.0,Kabupaten Ogan Komering Ulu Timur,
Ogan Ilir,2.15,0.53,57.97,13.36,RIAU,99.13,Kabupaten Ogan Ilir,
Empat Lawang,1.89,0.49,31.89,12.63,RIAU,93.38,Kabupaten Empat Lawang,
Penukal Abab Lematang Ilir,1.4,0.23,24.17,12.62,RIAU,93.17,Kabupaten Penukal Abab Lematang Ilir,
Musi Rawas Utara,3.24,0.8,37.75,19.47,RIAU,92.82,Kabupaten Musi Rawas Utara,
Kota Palembang,1.67,0.4,182.61,10.89,RIAU,95.97,Kota Palembang,
Kota Prabumulih,1.27,0.23,21.83,11.59,RIAU,93.7,Kota Prabumulih,
Kota Pagar Alam,0.99,0.16,12.71,9.07,RIAU,94.46,Kota Pagar Alam,
Kota Lubuklinggau,2.2,0.54,29.8,12.71,RIAU,95.83,Kota Lubuklinggau,
Bengkulu Selatan,3.29,0.82,28.41,17.82,RIAU,94.14,Kabupaten Bengkulu Selatan,
Rejang Lebong,1.79,0.35,41.47,15.85,RIAU,93.78,Kabupaten Rejang Lebong,
Bengkulu Utara,1.58,0.37,36.67,11.67,RIAU,91.23,Kabupaten Bengkulu Utara,
Kaur,2.77,0.63,22.57,18.47,RIAU,87.12,Kabupaten Kaur,
Seluma,2.87,0.7,36.23,18.56,RIAU,85.65,Kabupaten Seluma,
Mukomuko,1.52,0.38,23.1,11.72,RIAU,83.88,Kabupaten Mukomuko,
Lebong,1.45,0.35,13.97,11.85,RIAU,91.6,Kabupaten Lebong,
Kepahiang,1.9,0.37,20.27,14.69,RIAU,95.8,Kabupaten Kepahiang,
