,,,,
Nama Wilayah,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,Jumlah Penduduk Miskin Kab/Kota (Ribu Orang),Persentase Penduduk Miskin Menurut Kabupaten/Kota (Persen)
Natuna,0.40,0.05,3.47,4.43
Lingga,2.32,0.58,12.45,13.85
Kepulauan Anambas,0.96,0.20,2.80,6.56
Kota Batam,0.70,0.20,67.06,4.75
Kota Tanjung Pinang,1.58,0.40,19.98,9.37
DKI JAKARTA,0.59,0.11,480.86,4.53
Kepulauan Seribu,2.10,0.42,3.63,14.87
Kota Jakarta Selatan,0.47,0.10,78.09,3.43
Kota Jakarta Timur,0.35,0.05,122.73,4.16
Kota Jakarta Pusat,0.60,0.15,41.92,4.51
Kota Jakarta Barat,0.61,0.14,110.90,4.25
Kota Jakarta Utara,0.99,0.21,123.59,6.78
JAWA BARAT,1.13,0.23,3920.23,7.88
Bogor,0.83,0.11,465.67,7.69
Sukabumi,0.80,0.12,175.10,7.09
Cianjur,1.38,0.27,234.47,10.36
Bandung,0.92,0.17,263.60,6.91
Garut,0.97,0.15,262.78,9.98
Tasikmalaya,0.83,0.11,181.52,10.34
Ciamis,0.92,0.16,91.39,7.62
Kuningan,2.41,0.62,139.20,12.82
Cirebon,1.30,0.24,247.94,11.24
Majalengka,1.41,0.25,138.21,11.43
Sumedang,1.72,0.42,118.38,10.26
Indramayu,2.18,0.56,220.31,12.70
Subang,1.29,0.25,149.81,9.31
Purwakarta,1.04,0.20,80.17,8.27
Karawang,1.28,0.25,195.41,8.26
Bekasi,0.72,0.18,186.30,4.82
Bandung Barat,1.40,0.25,179.46,10.49
Pangandaran,1.32,0.28,36.05,8.99
Kota Bogor,1.08,0.26,75.04,6.68
Kota Sukabumi,1.17,0.22,25.42,7.70
Kota Bandung,0.61,0.13,100.02,3.99
Kota Cirebon,1.68,0.40,30.61,9.52
Kota Bekasi,0.60,0.15,134.01,4.38
Kota Depok,0.29,0.06,60.43,2.45
Kota Cimahi,0.75,0.18,31.64,5.11
Kota Tasikmalaya,1.75,0.39,86.13,12.97
Kota Banjar,0.70,0.12,11.16,6.09
JAWA TENGAH,1.72,0.34,3980.90,11.41
Cilacap,0.95,0.13,198.60,11.46
Banyumas,2.25,0.50,225.84,13.26
